Designator,MidX,MidY,Layer,Rotation
C1,159.8,-109.8,B,90
C2,147,-90.6,B,90
J1,141.85,-88.3,B,90
J3,148.465,-104.03,B,90
R1,158,-93.4,B,0
R2,158,-95,B,0
R19,158.2,-109.8,B,90
U5,170.75,-102.17,B,0
C3,176,-94.4,T,-90
C4,178.4,-87.2,T,180
C5,174,-87.2,T,180
C6,175.8,-85.6,T,90
C7,177.12,-82.6,T,0
C8,181.2,-93.2,T,0
C9,180.6,-87.2,T,0
C10,177,-80.6,T,0
C11,175.4,-79.4,T,90
C12,151,-106.2,T,90
D1,234.3375,-77.8,T,180
D2,234.375,-75.75,T,180
D3,191.4,-105,T,0
J2,175,-75.3625,T,90
L1,176.4,-87.2,T,180
L2,174.8,-85.6,T,90
L3,175.4,-83.6,T,90
L4,175.4,-81.685,T,90
R3,237.5625,-77.8,T,180
R4,237.575,-75.75,T,180
R5,213.8,-110.4,T,0
R6,213.6,-91.6,T,0
R7,226.2,-100.8,T,0
R8,213.6,-100.8,T,0
R9,201.2,-100.8,T,0
R10,171,-89.8,T,180
R11,164,-85,T,-90
R12,159.8,-85.025,T,-90
R13,162.4,-85,T,-90
R14,158.135,-85.025,T,-90
R15,165.6,-85,T,-90
R16,167.2,-85,T,-90
R17,154.3,-103.5,T,0
R18,154.4,-107.9,T,0
R20,154.4,-109,T,0
R21,154.3,-101.3,T,0
R22,154.3,-102.3,T,0
R23,181.2,-94.4,T,180
SW1,218.525,-106.25,T,0
SW2,218.5,-87.5,T,0
SW3,231.025,-96.75,T,0
SW4,218.525,-96.75,T,0
SW5,206.025,-96.75,T,0
SW6,193,-111,T,0
U2,175,-90.675,T,90
U3,156,-89.1,T,0
U4,145.6,-105,T,180
Y1,180,-90.2,T,-90
